"Year","TL"
1950,3.20666227628276
1951,3.21211645044023
1952,3.19820405796832
1953,3.19382745199685
1954,3.20517811174606
1955,3.21179662053205
1956,3.20012302431363
1957,3.190949725522
1958,3.17522595158334
1959,3.12006287776396
1960,3.07282619157234
1961,3.04254308121575
1962,3.03176789961977
1963,3.03696559604769
1964,3.00707144648813
1965,3.03737448015909
1966,3.03380123936048
1967,3.0279839825868
1968,3.01038600663756
1969,2.999721609002
1970,2.99456112956947
1971,3.00583987515542
1972,3.07164827786465
1973,3.14788457232503
1974,3.09181483198329
1975,3.09748092406137
1976,3.07958105261657
1977,3.11552929867165
1978,3.08732676740707
1979,3.08712192573517
1980,3.0907304863698
1981,3.09141252208147
1982,3.06405208414218
1983,3.06650312007673
1984,3.04991222680737
1985,3.03085686094164
1986,3.02834987075257
1987,3.06971652998474
1988,3.07117079390139
1989,3.07328807311516
1990,3.09163570515396
1991,3.0763917935735
1992,3.08208276232589
1993,3.07961495917428
1994,3.05902373940899
1995,3.11578426948668
1996,3.10690673448333
1997,3.11315137784884
1998,3.16870170874797
1999,3.08630447303591
2000,3.073440544454
2001,3.1311081930251
2002,3.09112834773143
2003,3.16028524185179
2004,3.12278676805893
2005,3.12430757764929
2006,3.14836090631952
2007,3.1378424059264
2008,3.12280800103121
2009,3.09156407980338
2010,3.12200997229333
2011,3.03757123993649
2012,3.07812055089558
2013,3.09477394844786
2014,3.13849504573103
2015,3.11911645502311
2016,3.13736046688775
2017,3.14215704125834
