Year,FMFO_TL
1950,3.20778631
1951,3.214206989
1952,3.201103147
1953,3.197358595
1954,3.20892262
1955,3.216048834
1956,3.20550402
1957,3.195957754
1958,3.178422821
1959,3.121742468
1960,3.0736131
1961,3.04286241
1962,3.031879727
1963,3.037218649
1964,3.006704095
1965,3.037582097
1966,3.033817458
1967,3.027776715
1968,3.009912623
1969,2.998986471
1970,2.99380468
1971,3.005230952
1972,3.072841677
1973,3.151543223
1974,3.092925997
1975,3.099021784
1976,3.080383951
1977,3.117224315
1978,3.088334069
1979,3.088159738
1980,3.09185773
1981,3.092581373
1982,3.064642991
1983,3.067052916
1984,3.050820654
1985,3.031279675
1986,3.028832989
1987,3.071236695
1988,3.072174893
1989,3.074491903
1990,3.093021661
1991,3.077513794
1992,3.083611593
1993,3.080968717
1994,3.059770154
1995,3.117487704
1996,3.109069748
1997,3.115546859
1998,3.172520608
1999,3.087967092
2000,3.074723229
2001,3.133009748
2002,3.092275959
2003,3.161608384
2004,3.123726558
2005,3.125357107
2006,3.147975706
2007,3.140123785
2008,3.124636976
2009,3.093150526
2010,3.118926683
2011,3.039020332
2012,3.07720192
