Year,TL
1950,3.2077863097620574
1951,3.2142069893103824
1952,3.201103146604158
1953,3.197358594613696
1954,3.208922620150629
1955,3.21604883367922
1956,3.2055040204592244
1957,3.1959577539193305
1958,3.1784228213187693
1959,3.1217424684300488
1960,3.073613099996004
1961,3.0428624100133312
1962,3.0318797270121096
1963,3.0372186488478063
1964,3.0067040947839954
1965,3.037582097118748
1966,3.0338174575057804
1967,3.0277767152854986
1968,3.0099126228441153
1969,2.998986470600083
1970,2.993804680037419
1971,3.005230951549843
1972,3.072841676717691
1973,3.151543223307465
1974,3.0929259972020158
1975,3.0990217839571774
1976,3.080383951139337
1977,3.1172243150718475
1978,3.0883340687897936
1979,3.088159737650188
1980,3.0918577298372463
1981,3.092581372840182
1982,3.0646429914837854
1983,3.067052916456815
1984,3.0508206542159892
1985,3.031279675002354
1986,3.0288329887230097
1987,3.0712366954270673
1988,3.072174893265748
1989,3.0744919027582145
1990,3.093021660502958
1991,3.0775137939660167
1992,3.083611593210819
1993,3.080968717181263
1994,3.0597701538636497
1995,3.1174877037649718
1996,3.1090697475854094
1997,3.1155468591188784
1998,3.172520608334967
1999,3.0879670920171387
2000,3.074723229488022
2001,3.133009747827815
2002,3.0922759594694798
2003,3.1616083835682183
2004,3.123726557753904
2005,3.125357107341763
2006,3.147975706309797
2007,3.140123785228769
2008,3.12463697573037
2009,3.0931505262049863
2010,3.118926683439387
2011,3.0390203317909696
2012,3.077201920306089
